x	y	RR	N_pairs	N_x	N_y	N_total	date	RR_xx	N_diag.x	RR_yy	N_diag.y	nRR	nRR_fixed	RR_lower	RR_upper	nRR_fixed_lower	nRR_fixed_upper
12-17	5-11	1.4544420826512925	837	13197	10343	237188	2021-01-31	1.9965318891002624	1466	2.55861813714003	1154	0.6385923951013103	1.3209628206472162	1.2708898535794944	1.6326547746962516	1.1655674885277474	1.4855834401174037
12-17	65-80	0.8133516261750964	1110	13197	24528	237188	2021-01-31	1.9965318891002624	1466	1.74257190532199	4420	0.4350516438663192	0.7387074886692812	0.7377576726997557	0.8990393697103447	0.670735605874733	0.8114099002069824
12-17	80+	0.5909081960074167	421	13197	12805	237188	2021-01-31	1.9965318891002624	1466	4.299147574656705	2972	0.1877186408263518	0.5366784739331961	0.45251415310772364	0.7042410616702548	0.41324292642061633	0.6392723957991976
18-24	0-4	0.6159491928785168	415	34286	4661	237188	2021-01-31	2.724717624256629	13504	3.2316641795843584	296	0.2068199162388551	0.559421370507234	0.5308748053412256	0.7025103704434951	0.48256831241512277	0.6387706389392913
18-24	12-17	0.8465901347844151	1615	34286	13197	237188	2021-01-31	2.724717624256629	13504	1.9965318891002624	1466	0.3586296942745035	0.7688955825166724	0.7623405209483634	0.9205736718551019	0.6935019778274155	0.8362531408429035
18-24	18-24	2.724717624256629	13504	34286	34286	237188	2021-01-31	2.724717624256629	13504	2.724717624256629	13504	1	2.474660711029599	2.5382124741236867	2.9300159436357576	2.313544663685009	2.660724220882073
18-24	25-64	0.7331989987612313	14559	34286	137368	237188	2021-01-31	2.724717624256629	13504	1.1010469484210594	87596	0.3832954092353144	0.6659107495939794	0.698986608117264	0.7675115866286785	0.6327424464028644	0.703738678778208
18-24	5-11	0.637414986558376	953	34286	10343	237188	2021-01-31	2.724717624256629	13504	2.55861813714003	1154	0.24129262850024671	0.5789171728530303	0.5605735807730375	0.7118760309979241	0.5070600705604686	0.65049423379975
18-24	65-80	0.6560296465280597	2326	34286	24528	237188	2021-01-31	2.724717624256629	13504	1.74257190532199	4420	0.29370366177718515	0.5958235000504107	0.5949500835346113	0.7177211175598718	0.5384423780206112	0.6529986891154225
18-24	80+	0.4937902463333956	914	34286	12805	237188	2021-01-31	2.724717624256629	13504	4.299147574656705	2972	0.14060356580014952	0.4484733798513392	0.42679582827440926	0.5578101253987244	0.3878104319954256	0.5089310399264118
25-64	0-4	1.015770243098214	2742	137368	4661	237188	2021-01-31	1.1010469484210594	87596	3.2316641795843584	296	0.4688843604331537	0.9225494376555556	0.9753746010016167	1.051958196035633	0.8830945530215948	0.9536499629885062
25-64	12-17	0.970159357143583	7415	137368	13197	237188	2021-01-31	1.1010469484210594	87596	1.9965318891002624	1466	0.6263984925206314	0.8811244230183155	0.944124487689769	0.9990853050609712	0.8593340668935004	0.9062026998418691
25-64	18-24	0.7331989987612313	14559	137368	34286	237188	2021-01-31	1.1010469484210594	87596	2.724717624256629	13504	0.3832954092353144	0.6659107495939794	0.698986608117264	0.7675115866286785	0.6327424464028644	0.703738678778208
25-64	25-64	1.1010469484210594	87596	137368	137368	237188	2021-01-31	1.1010469484210594	87596	1.1010469484210594	87596	1	1	1.0899385474115462	1.1112000687336177	1	1
25-64	5-11	0.9774341598798056	5855	137368	10343	237188	2021-01-31	1.1010469484210594	87596	2.55861813714003	1154	0.5341659070040002	0.8877315915379277	0.9477650113094047	1.0148493846735562	0.8585089481520378	0.9228131642659421
25-64	65-80	0.9395689603465096	13347	137368	24528	237188	2021-01-31	1.1010469484210594	87596	1.74257190532199	4420	0.6608262278960184	0.8533414144545651	0.9085931089843146	0.9638315140983624	0.822982329644196	0.8796076270190817
25-64	80+	0.7893693755881049	5854	137368	12805	237188	2021-01-31	1.1010469484210594	87596	4.299147574656705	2972	0.292348496786451	0.7169261735115735	0.7453370210778116	0.8429682843833978	0.6772245551532157	0.7671484394068134
5-11	0-4	1.8794486010342983	382	10343	4661	237188	2021-01-31	2.55861813714003	1154	3.2316641795843584	296	0.6491733902527634	1.70696499702351	1.5882456252369916	2.243851765285173	1.4401265822852933	2.0585654475134976
5-11	12-17	1.4544420826512925	837	10343	13197	237188	2021-01-31	2.55861813714003	1154	1.9965318891002624	1466	0.6385923951013103	1.3209628206472162	1.2708898535794944	1.6326547746962516	1.1655674885277474	1.4855834401174037
5-11	18-24	0.637414986558376	953	10343	34286	237188	2021-01-31	2.55861813714003	1154	2.724717624256629	13504	0.24129262850024671	0.5789171728530303	0.5605735807730375	0.7118760309979241	0.5070600705604686	0.65049423379975
5-11	25-64	0.9774341598798056	5855	10343	137368	237188	2021-01-31	2.55861813714003	1154	1.1010469484210594	87596	0.5341659070040002	0.8877315915379277	0.9477650113094047	1.0148493846735562	0.8585089481520378	0.9228131642659421
5-11	5-11	2.55861813714003	1154	10343	10343	237188	2021-01-31	2.55861813714003	1154	2.55861813714003	1154	1	2.323804757652868	2.1740165119234636	3.0343354673796785	1.982178229752355	2.7705478034539244
5-11	65-80	0.7647814699764168	818	10343	24528	237188	2021-01-31	2.55861813714003	1154	1.74257190532199	4420	0.35561389402764104	0.6945947864195443	0.6764743816648131	0.8533995411715763	0.6154207587774723	0.7729761743717576
5-11	80+	0.6160628966095868	344	10343	12805	237188	2021-01-31	2.55861813714003	1154	4.299147574656705	2972	0.1796686916701849	0.5595246392472573	0.45509400616567364	0.7559214055327051	0.41405165979161895	0.6901205805208642
