x	y	RR	N_pairs	N_x	N_y	N_total	date
0-5y	65-80y	0.8920424537460361	2303	45179	97009	1697619	2021-03-28
0-5y	46-65y	0.9451351120976936	10536	45179	418876	1697619	2021-03-28
0-5y	18-25y	0.8914295046642647	6849	45179	288698	1697619	2021-03-28
0-5y	6-17y	1.1013770868538766	6253	45179	213332	1697619	2021-03-28
18-25y	81y+	0.8021546031660248	3996	288698	29293	1697619	2021-03-28
18-25y	26-45y	0.9643620023905736	99258	288698	605232	1697619	2021-03-28
18-25y	0-5y	0.8914295046642647	6849	288698	45179	1697619	2021-03-28
18-25y	65-80y	0.8051570443192259	13283	288698	97009	1697619	2021-03-28
18-25y	46-65y	0.9491076780266706	67609	288698	418876	1697619	2021-03-28
18-25y	18-25y	1.3323858827987665	65415	288698	288698	1697619	2021-03-28
18-25y	6-17y	0.8938968271878446	32430	288698	213332	1697619	2021-03-28
26-45y	81y+	0.8438752773343725	8813	605232	29293	1697619	2021-03-28
26-45y	26-45y	1.0620309464379818	229161	605232	605232	1697619	2021-03-28
26-45y	0-5y	1.0061380324267986	16206	605232	45179	1697619	2021-03-28
26-45y	65-80y	0.8646116404865116	29903	605232	97009	1697619	2021-03-28
26-45y	46-65y	0.9971212725789022	148907	605232	418876	1697619	2021-03-28
26-45y	18-25y	0.9643620023905736	99258	605232	288698	1697619	2021-03-28
26-45y	6-17y	0.9550370921502969	72637	605232	213332	1697619	2021-03-28
46-65y	81y+	1.0837248316988073	7833	418876	29293	1697619	2021-03-28
46-65y	26-45y	0.9971212725789022	148907	418876	605232	1697619	2021-03-28
46-65y	0-5y	0.9451351120976936	10536	418876	45179	1697619	2021-03-28
46-65y	65-80y	1.0127290164036618	24241	418876	97009	1697619	2021-03-28
46-65y	46-65y	1.0905829239295077	112717	418876	418876	1697619	2021-03-28
46-65y	18-25y	0.9491076780266706	67609	418876	288698	1697619	2021-03-28
46-65y	6-17y	0.9444846934970086	49716	418876	213332	1697619	2021-03-28
6-17y	81y+	0.8622382667778029	3174	213332	29293	1697619	2021-03-28
6-17y	26-45y	0.9550370921502969	72637	213332	605232	1697619	2021-03-28
6-17y	0-5y	1.1013770868538766	6253	213332	45179	1697619	2021-03-28
6-17y	65-80y	0.87074741356703	10615	213332	97009	1697619	2021-03-28
6-17y	46-65y	0.9444846934970086	49716	213332	418876	1697619	2021-03-28
6-17y	18-25y	0.8938968271878446	32430	213332	288698	1697619	2021-03-28
6-17y	6-17y	1.2428541761511138	33319	213332	213332	1697619	2021-03-28
65-80y	81y+	1.8411831104958745	3082	97009	29293	1697619	2021-03-28
65-80y	26-45y	0.8646116404865116	29903	97009	605232	1697619	2021-03-28
65-80y	0-5y	0.8920424537460361	2303	97009	45179	1697619	2021-03-28
65-80y	65-80y	1.6677198089200043	9245	97009	97009	1697619	2021-03-28
65-80y	46-65y	1.0127290164036618	24241	97009	418876	1697619	2021-03-28
65-80y	18-25y	0.8051570443192259	13283	97009	288698	1697619	2021-03-28
65-80y	6-17y	0.87074741356703	10615	97009	213332	1697619	2021-03-28
81y+	81y+	5.883740205394335	2974	29293	29293	1697619	2021-03-28
81y+	26-45y	0.8438752773343725	8813	29293	605232	1697619	2021-03-28
81y+	0-5y	0.9466645709785019	738	29293	45179	1697619	2021-03-28
81y+	65-80y	1.8411831104958745	3082	29293	97009	1697619	2021-03-28
81y+	46-65y	1.0837248316988073	7833	29293	418876	1697619	2021-03-28
81y+	18-25y	0.8021546031660248	3996	29293	288698	1697619	2021-03-28
81y+	6-17y	0.8622382667778029	3174	29293	213332	1697619	2021-03-28
0-5y	81y+	1.0010733910212246	751	50002	27959	1863524	2021-04-25
0-5y	65-80y	0.9036070742576285	2493	50002	102823	1863524	2021-04-25
0-5y	46-65y	0.9408271675047667	11336	50002	449053	1863524	2021-04-25
0-5y	6-17y	1.1213431342664053	7156	50002	237837	1863524	2021-04-25
0-5y	18-25y	0.8973288662457907	7728	50002	320969	1863524	2021-04-25
0-5y	26-45y	0.995726868906073	18031	50002	674881	1863524	2021-04-25
0-5y	0-5y	1.8685923772200745	2507	50002	50002	1863524	2021-04-25
18-25y	81y+	0.8482860556189031	4085	320969	27959	1863524	2021-04-25
18-25y	65-80y	0.8315644548026053	14727	320969	102823	1863524	2021-04-25
18-25y	46-65y	0.9476385572665734	73294	320969	449053	1863524	2021-04-25
18-25y	6-17y	0.8981926296056537	36794	320969	237837	1863524	2021-04-25
18-25y	18-25y	1.3013958842717688	71945	320969	320969	1863524	2021-04-25
18-25y	26-45y	0.9690990884619808	112648	320969	674881	1863524	2021-04-25
18-25y	0-5y	0.8973288662457907	7728	320969	50002	1863524	2021-04-25
26-45y	81y+	0.8754188665940652	8864	674881	27959	1863524	2021-04-25
26-45y	65-80y	0.8861188489448095	32997	674881	102823	1863524	2021-04-25
26-45y	46-65y	0.9902663892501153	161043	674881	449053	1863524	2021-04-25
26-45y	6-17y	0.9538459260104347	82158	674881	237837	1863524	2021-04-25
26-45y	18-25y	0.9690990884619808	112648	674881	320969	1863524	2021-04-25
26-45y	26-45y	1.057349278326343	258427	674881	674881	1863524	2021-04-25
26-45y	0-5y	0.995726868906073	18031	674881	50002	1863524	2021-04-25
46-65y	81y+	1.1043041129306546	7440	449053	27959	1863524	2021-04-25
46-65y	65-80y	1.0242061918429595	25377	449053	102823	1863524	2021-04-25
46-65y	46-65y	1.092634280900517	118232	449053	449053	1863524	2021-04-25
46-65y	6-17y	0.9506986913019991	54486	449053	237837	1863524	2021-04-25
46-65y	18-25y	0.9476385572665734	73294	449053	320969	1863524	2021-04-25
46-65y	26-45y	0.9902663892501153	161043	449053	674881	1863524	2021-04-25
46-65y	0-5y	0.9408271675047667	11336	449053	50002	1863524	2021-04-25
6-17y	81y+	0.9357295772094882	3339	237837	27959	1863524	2021-04-25
6-17y	65-80y	0.8969715348147124	11771	237837	102823	1863524	2021-04-25
6-17y	46-65y	0.9506986913019991	54486	237837	449053	1863524	2021-04-25
6-17y	6-17y	1.2529915902438082	38034	237837	237837	1863524	2021-04-25
6-17y	18-25y	0.8981926296056537	36794	237837	320969	1863524	2021-04-25
6-17y	26-45y	0.9538459260104347	82158	237837	674881	1863524	2021-04-25
6-17y	0-5y	1.1213431342664053	7156	237837	50002	1863524	2021-04-25
65-80y	81y+	1.6957460930508725	2616	102823	27959	1863524	2021-04-25
65-80y	65-80y	1.633051467786691	9265	102823	102823	1863524	2021-04-25
65-80y	46-65y	1.0242061918429595	25377	102823	449053	1863524	2021-04-25
65-80y	6-17y	0.8969715348147124	11771	102823	237837	1863524	2021-04-25
65-80y	18-25y	0.8315644548026053	14727	102823	320969	1863524	2021-04-25
65-80y	26-45y	0.8861188489448095	32997	102823	674881	1863524	2021-04-25
65-80y	0-5y	0.9036070742576285	2493	102823	50002	1863524	2021-04-25
81y+	81y+	4.643876642109245	1948	27959	27959	1863524	2021-04-25
81y+	65-80y	1.6957460930508725	2616	27959	102823	1863524	2021-04-25
81y+	46-65y	1.1043041129306546	7440	27959	449053	1863524	2021-04-25
81y+	6-17y	0.9357295772094882	3339	27959	237837	1863524	2021-04-25
81y+	18-25y	0.8482860556189031	4085	27959	320969	1863524	2021-04-25
81y+	26-45y	0.8754188665940652	8864	27959	674881	1863524	2021-04-25
81y+	0-5y	1.0010733910212246	751	27959	50002	1863524	2021-04-25
0-5y	81y+	1.0027607490409172	1036	73783	37635	2687731	2021-05-23
0-5y	65-80y	0.9197751776969528	3793	73783	150221	2687731	2021-05-23
0-5y	46-65y	0.9466401606816666	15868	73783	610614	2687731	2021-05-23
0-5y	6-17y	1.0952012126455763	10344	73783	344052	2687731	2021-05-23
0-5y	18-25y	0.9313705943959009	11949	73783	467346	2687731	2021-05-23
0-5y	26-45y	0.9928245256136066	27366	73783	1004080	2687731	2021-05-23
0-5y	0-5y	1.6919490690489156	3427	73783	73783	2687731	2021-05-23
18-25y	81y+	0.8864581059430737	5801	467346	37635	2687731	2021-05-23
18-25y	65-80y	0.867552354186166	22661	467346	150221	2687731	2021-05-23
18-25y	46-65y	0.9530364808790298	101188	467346	610614	2687731	2021-05-23
18-25y	6-17y	0.9138778371683496	54672	467346	344052	2687731	2021-05-23
18-25y	18-25y	1.2165728850145934	98862	467346	467346	2687731	2021-05-23
18-25y	26-45y	0.9883574778654145	172558	467346	1004080	2687731	2021-05-23
18-25y	0-5y	0.9313705943959009	11949	467346	73783	2687731	2021-05-23
26-45y	81y+	0.9252721218406714	13009	1004080	37635	2687731	2021-05-23
26-45y	65-80y	0.914656656722241	51330	1004080	150221	2687731	2021-05-23
26-45y	46-65y	0.9825235454276442	224126	1004080	610614	2687731	2021-05-23
26-45y	6-17y	0.9540528154367158	122625	1004080	344052	2687731	2021-05-23
26-45y	18-25y	0.9883574778654145	172558	1004080	467346	2687731	2021-05-23
26-45y	26-45y	1.0455121219975128	392175	1004080	1004080	2687731	2021-05-23
26-45y	0-5y	0.9928245256136066	27366	1004080	73783	2687731	2021-05-23
46-65y	81y+	1.1327308994712115	9685	610614	37635	2687731	2021-05-23
46-65y	65-80y	1.0277173584057369	35074	610614	150221	2687731	2021-05-23
46-65y	46-65y	1.0924090770698631	151542	610614	610614	2687731	2021-05-23
46-65y	6-17y	0.9635164576614949	75312	610614	344052	2687731	2021-05-23
46-65y	18-25y	0.9530364808790298	101188	610614	467346	2687731	2021-05-23
46-65y	26-45y	0.9825235454276442	224126	610614	1004080	2687731	2021-05-23
46-65y	0-5y	0.9466401606816666	15868	610614	73783	2687731	2021-05-23
6-17y	81y+	0.9849314611145589	4745	344052	37635	2687731	2021-05-23
6-17y	65-80y	0.9087580048750458	17475	344052	150221	2687731	2021-05-23
6-17y	46-65y	0.9635164576614949	75312	344052	610614	2687731	2021-05-23
6-17y	6-17y	1.2682348499754956	55855	344052	344052	2687731	2021-05-23
6-17y	18-25y	0.9138778371683496	54672	344052	467346	2687731	2021-05-23
6-17y	26-45y	0.9540528154367158	122625	344052	1004080	2687731	2021-05-23
6-17y	0-5y	1.0952012126455763	10344	344052	73783	2687731	2021-05-23
65-80y	81y+	1.58832622659477	3341	150221	37635	2687731	2021-05-23
65-80y	65-80y	1.515234654215545	12722	150221	150221	2687731	2021-05-23
65-80y	46-65y	1.0277173584057369	35074	150221	610614	2687731	2021-05-23
65-80y	6-17y	0.9087580048750458	17475	150221	344052	2687731	2021-05-23
65-80y	18-25y	0.867552354186166	22661	150221	467346	2687731	2021-05-23
65-80y	26-45y	0.914656656722241	51330	150221	1004080	2687731	2021-05-23
65-80y	0-5y	0.9197751776969528	3793	150221	73783	2687731	2021-05-23
81y+	81y+	4.1063807580694975	2164	37635	37635	2687731	2021-05-23
81y+	65-80y	1.58832622659477	3341	37635	150221	2687731	2021-05-23
81y+	46-65y	1.1327308994712115	9685	37635	610614	2687731	2021-05-23
81y+	6-17y	0.9849314611145589	4745	37635	344052	2687731	2021-05-23
81y+	18-25y	0.8864581059430737	5801	37635	467346	2687731	2021-05-23
81y+	26-45y	0.9252721218406714	13009	37635	1004080	2687731	2021-05-23
81y+	0-5y	1.0027607490409172	1036	37635	73783	2687731	2021-05-23
0-5y	65-80y	0.9519609190920527	4620	87155	170451	3061040	2021-06-20
0-5y	46-65y	0.9559040208577287	18114	87155	665544	3061040	2021-06-20
0-5y	6-17y	1.079485009362627	12649	87155	411544	3061040	2021-06-20
0-5y	18-25y	0.9313835609459331	14185	87155	534906	3061040	2021-06-20
0-5y	81y+	0.9774322085193976	1189	87155	42724	3061040	2021-06-20
0-5y	26-45y	0.9915722576965426	32431	87155	1148716	3061040	2021-06-20
0-5y	0-5y	1.5986249648215067	3967	87155	87155	3061040	2021-06-20
18-25y	65-80y	0.8749496427087922	26061	534906	170451	3061040	2021-06-20
18-25y	46-65y	0.954605230166378	111022	534906	665544	3061040	2021-06-20
18-25y	6-17y	0.9086033437831124	65343	534906	411544	3061040	2021-06-20
18-25y	18-25y	1.2070123383940419	112823	534906	534906	3061040	2021-06-20
18-25y	81y+	0.8829514573217131	6592	534906	42724	3061040	2021-06-20
18-25y	26-45y	0.9887657816627035	198479	534906	1148716	3061040	2021-06-20
18-25y	0-5y	0.9313835609459331	14185	534906	87155	3061040	2021-06-20
26-45y	65-80y	0.9412317213355119	60206	1148716	170451	3061040	2021-06-20
26-45y	46-65y	0.989191193316611	247059	1148716	665544	3061040	2021-06-20
26-45y	6-17y	0.9492550531773465	146603	1148716	411544	3061040	2021-06-20
26-45y	18-25y	0.9887657816627035	198479	1148716	534906	3061040	2021-06-20
26-45y	81y+	0.9393733534089778	15061	1148716	42724	3061040	2021-06-20
26-45y	26-45y	1.0377159337163333	447337	1148716	1148716	3061040	2021-06-20
26-45y	0-5y	0.9915722576965426	32431	1148716	87155	3061040	2021-06-20
46-65y	65-80y	1.0566332465245711	39159	665544	170451	3061040	2021-06-20
46-65y	46-65y	1.1004984783420935	159248	665544	665544	3061040	2021-06-20
46-65y	6-17y	0.9598947512588261	85891	665544	411544	3061040	2021-06-20
46-65y	18-25y	0.954605230166378	111022	665544	534906	3061040	2021-06-20
46-65y	81y+	1.139276454701576	10583	665544	42724	3061040	2021-06-20
46-65y	26-45y	0.989191193316611	247059	665544	1148716	3061040	2021-06-20
46-65y	0-5y	0.9559040208577287	18114	665544	87155	3061040	2021-06-20
6-17y	65-80y	0.9420318495495521	21588	411544	170451	3061040	2021-06-20
6-17y	46-65y	0.9598947512588261	85891	411544	665544	3061040	2021-06-20
6-17y	6-17y	1.2344758363044874	68304	411544	411544	3061040	2021-06-20
6-17y	18-25y	0.9086033437831124	65343	411544	534906	3061040	2021-06-20
6-17y	81y+	0.9775311029288771	5615	411544	42724	3061040	2021-06-20
6-17y	26-45y	0.9492550531773465	146603	411544	1148716	3061040	2021-06-20
6-17y	0-5y	1.079485009362627	12649	411544	87155	3061040	2021-06-20
65-80y	65-80y	1.477232613200728	14021	170451	170451	3061040	2021-06-20
65-80y	46-65y	1.0566332465245711	39159	170451	665544	3061040	2021-06-20
65-80y	6-17y	0.9420318495495521	21588	170451	411544	3061040	2021-06-20
65-80y	18-25y	0.8749496427087922	26061	170451	534906	3061040	2021-06-20
65-80y	81y+	1.5333891098728194	3648	170451	42724	3061040	2021-06-20
65-80y	26-45y	0.9412317213355119	60206	170451	1148716	3061040	2021-06-20
65-80y	0-5y	0.9519609190920527	4620	170451	87155	3061040	2021-06-20
81y+	65-80y	1.5333891098728194	3648	42724	170451	3061040	2021-06-20
81y+	46-65y	1.139276454701576	10583	42724	665544	3061040	2021-06-20
81y+	6-17y	0.9775311029288771	5615	42724	411544	3061040	2021-06-20
81y+	18-25y	0.8829514573217131	6592	42724	534906	3061040	2021-06-20
81y+	81y+	3.9710640330528726	2368	42724	42724	3061040	2021-06-20
81y+	26-45y	0.9393733534089778	15061	42724	1148716	3061040	2021-06-20
81y+	0-5y	0.9774322085193976	1189	42724	87155	3061040	2021-06-20
0-5y	46-65y	0.955750685202341	15847	79804	547907	2637115	2021-07-18
0-5y	6-17y	1.068817924345621	12119	79804	374686	2637115	2021-07-18
0-5y	18-25y	0.9399205667751008	12793	79804	449765	2637115	2021-07-18
0-5y	26-45y	0.9891360329842113	29595	79804	988705	2637115	2021-07-18
0-5y	0-5y	1.601230748341808	3867	79804	79804	2637115	2021-07-18
0-5y	81y+	0.9775376591116456	1185	79804	40058	2637115	2021-07-18
0-5y	65-80y	0.9304786427592727	4398	79804	156190	2637115	2021-07-18
18-25y	46-65y	0.949954454656705	88770	449765	547907	2637115	2021-07-18
18-25y	6-17y	0.9023931172998423	57666	449765	374686	2637115	2021-07-18
18-25y	18-25y	1.2196858053910697	93560	449765	449765	2637115	2021-07-18
18-25y	26-45y	0.9888894275565759	166752	449765	988705	2637115	2021-07-18
18-25y	0-5y	0.9399205667751008	12793	449765	79804	2637115	2021-07-18
18-25y	81y+	0.8754431581971308	5981	449765	40058	2637115	2021-07-18
18-25y	65-80y	0.8976855856646373	23913	449765	156190	2637115	2021-07-18
26-45y	46-65y	0.9863945426735806	202626	988705	547907	2637115	2021-07-18
26-45y	6-17y	0.9427666407721921	132437	988705	374686	2637115	2021-07-18
26-45y	18-25y	0.9888894275565759	166752	988705	449765	2637115	2021-07-18
26-45y	26-45y	1.0383601979272465	384904	988705	988705	2637115	2021-07-18
26-45y	0-5y	0.9891360329842113	29595	988705	79804	2637115	2021-07-18
26-45y	81y+	0.9246588099649297	13887	988705	40058	2637115	2021-07-18
26-45y	65-80y	0.9689947116908544	56743	988705	156190	2637115	2021-07-18
46-65y	46-65y	1.1038384409415447	125658	547907	547907	2637115	2021-07-18
46-65y	6-17y	0.9588991426769187	74648	547907	374686	2637115	2021-07-18
46-65y	18-25y	0.949954454656705	88770	547907	449765	2637115	2021-07-18
46-65y	26-45y	0.9863945426735806	202626	547907	988705	2637115	2021-07-18
46-65y	0-5y	0.955750685202341	15847	547907	79804	2637115	2021-07-18
46-65y	81y+	1.129073422886959	9397	547907	40058	2637115	2021-07-18
46-65y	65-80y	1.0943502879371019	35513	547907	156190	2637115	2021-07-18
6-17y	46-65y	0.9588991426769187	74648	374686	547907	2637115	2021-07-18
6-17y	6-17y	1.2436120647258155	66205	374686	374686	2637115	2021-07-18
6-17y	18-25y	0.9023931172998423	57666	374686	449765	2637115	2021-07-18
6-17y	26-45y	0.9427666407721921	132437	374686	988705	2637115	2021-07-18
6-17y	0-5y	1.068817924345621	12119	374686	79804	2637115	2021-07-18
6-17y	81y+	0.9508896681701435	5412	374686	40058	2637115	2021-07-18
6-17y	65-80y	0.946252394591451	20999	374686	156190	2637115	2021-07-18
65-80y	46-65y	1.0943502879371019	35513	156190	547907	2637115	2021-07-18
65-80y	6-17y	0.946252394591451	20999	156190	374686	2637115	2021-07-18
65-80y	18-25y	0.8976855856646373	23913	156190	449765	2637115	2021-07-18
65-80y	26-45y	0.9689947116908544	56743	156190	988705	2637115	2021-07-18
65-80y	0-5y	0.9304786427592727	4398	156190	79804	2637115	2021-07-18
65-80y	81y+	1.5628824249079822	3708	156190	40058	2637115	2021-07-18
65-80y	65-80y	1.5222534226969906	14082	156190	156190	2637115	2021-07-18
81y+	46-65y	1.129073422886959	9397	40058	547907	2637115	2021-07-18
81y+	6-17y	0.9508896681701435	5412	40058	374686	2637115	2021-07-18
81y+	18-25y	0.8754431581971308	5981	40058	449765	2637115	2021-07-18
81y+	26-45y	0.9246588099649297	13887	40058	988705	2637115	2021-07-18
81y+	0-5y	0.9775376591116456	1185	40058	79804	2637115	2021-07-18
81y+	81y+	4.272911448627659	2600	40058	40058	2637115	2021-07-18
81y+	65-80y	1.5628824249079822	3708	40058	156190	2637115	2021-07-18
0-5y	81y+	0.9530391823283273	1107	75675	38143	2485023	2021-08-15
0-5y	46-65y	0.9513482969540956	14717	75675	507993	2485023	2021-08-15
0-5y	65-80y	0.9265715061669895	4323	75675	153209	2485023	2021-08-15
0-5y	18-25y	0.9342948938296537	11874	75675	417341	2485023	2021-08-15
0-5y	6-17y	1.0803712064064692	11746	75675	357022	2485023	2021-08-15
0-5y	26-45y	0.9874873891097151	28136	75675	935640	2485023	2021-08-15
0-5y	0-5y	1.6368061099700755	3772	75675	75675	2485023	2021-08-15
18-25y	81y+	0.8621831989858315	5523	417341	38143	2485023	2021-08-15
18-25y	46-65y	0.946343625971632	80736	417341	507993	2485023	2021-08-15
18-25y	65-80y	0.899017749219859	23132	417341	153209	2485023	2021-08-15
18-25y	18-25y	1.2416874777288798	87029	417341	417341	2485023	2021-08-15
18-25y	6-17y	0.889938924894245	53360	417341	357022	2485023	2021-08-15
18-25y	26-45y	0.9888456154827848	155381	417341	935640	2485023	2021-08-15
18-25y	0-5y	0.9342948938296537	11874	417341	75675	2485023	2021-08-15
26-45y	81y+	0.9063257611500312	13016	935640	38143	2485023	2021-08-15
26-45y	46-65y	0.9902007289420114	189391	935640	507993	2485023	2021-08-15
26-45y	65-80y	0.9626598275356423	55531	935640	153209	2485023	2021-08-15
26-45y	18-25y	0.9888456154827848	155381	935640	417341	2485023	2021-08-15
26-45y	6-17y	0.9407398223868478	126457	935640	357022	2485023	2021-08-15
26-45y	26-45y	1.0400241526131826	366379	935640	935640	2485023	2021-08-15
26-45y	0-5y	0.9874873891097151	28136	935640	75675	2485023	2021-08-15
46-65y	81y+	1.0751208964955172	8383	507993	38143	2485023	2021-08-15
46-65y	46-65y	1.1205849749962549	116367	507993	507993	2485023	2021-08-15
46-65y	65-80y	1.0902553911555992	34146	507993	153209	2485023	2021-08-15
46-65y	18-25y	0.946343625971632	80736	507993	417341	2485023	2021-08-15
46-65y	6-17y	0.9546456922646268	69673	507993	357022	2485023	2021-08-15
46-65y	26-45y	0.9902007289420114	189391	507993	935640	2485023	2021-08-15
46-65y	0-5y	0.9513482969540956	14717	507993	75675	2485023	2021-08-15
6-17y	81y+	0.9047469103441833	4958	357022	38143	2485023	2021-08-15
6-17y	46-65y	0.9546456922646268	69673	357022	507993	2485023	2021-08-15
6-17y	65-80y	0.9337863225829223	20554	357022	153209	2485023	2021-08-15
6-17y	18-25y	0.889938924894245	53360	357022	417341	2485023	2021-08-15
6-17y	6-17y	1.2992372927114002	66642	357022	357022	2485023	2021-08-15
6-17y	26-45y	0.9407398223868478	126457	357022	935640	2485023	2021-08-15
6-17y	0-5y	1.0803712064064692	11746	357022	75675	2485023	2021-08-15
65-80y	81y+	1.553816861275434	3654	153209	38143	2485023	2021-08-15
65-80y	46-65y	1.0902553911555992	34146	153209	507993	2485023	2021-08-15
65-80y	65-80y	1.5414279578908292	14560	153209	153209	2485023	2021-08-15
65-80y	18-25y	0.899017749219859	23132	153209	417341	2485023	2021-08-15
65-80y	6-17y	0.9337863225829223	20554	153209	357022	2485023	2021-08-15
65-80y	26-45y	0.9626598275356423	55531	153209	935640	2485023	2021-08-15
65-80y	0-5y	0.9265715061669895	4323	153209	75675	2485023	2021-08-15
81y+	81y+	4.45117970621815	2606	38143	38143	2485023	2021-08-15
81y+	46-65y	1.0751208964955172	8383	38143	507993	2485023	2021-08-15
81y+	65-80y	1.553816861275434	3654	38143	153209	2485023	2021-08-15
81y+	18-25y	0.8621831989858315	5523	38143	417341	2485023	2021-08-15
81y+	6-17y	0.9047469103441833	4958	38143	357022	2485023	2021-08-15
81y+	26-45y	0.9063257611500312	13016	38143	935640	2485023	2021-08-15
81y+	0-5y	0.9530391823283273	1107	38143	75675	2485023	2021-08-15
0-5y	46-65y	0.9421112331643462	16159	82481	565872	2721196	2021-09-12
0-5y	6-17y	1.0896605976373748	13142	82481	397902	2721196	2021-09-12
0-5y	18-25y	0.9264565736741318	12436	82481	442855	2721196	2021-09-12
0-5y	26-45y	0.9877998327236529	30631	82481	1023053	2721196	2021-09-12
0-5y	0-5y	1.6619693744746422	4155	82481	82481	2721196	2021-09-12
0-5y	81y+	0.9560399311781685	1193	82481	41169	2721196	2021-09-12
0-5y	65-80y	0.936507465126415	4765	82481	167864	2721196	2021-09-12
18-25y	46-65y	0.9392932353419062	86501	442855	565872	2721196	2021-09-12
18-25y	6-17y	0.882856952948221	57170	442855	397902	2721196	2021-09-12
18-25y	18-25y	1.2660629909271897	91247	442855	442855	2721196	2021-09-12
18-25y	26-45y	0.9902069516998467	164864	442855	1023053	2721196	2021-09-12
18-25y	0-5y	0.9264565736741318	12436	442855	82481	2721196	2021-09-12
18-25y	81y+	0.8520949599053239	5709	442855	41169	2721196	2021-09-12
18-25y	65-80y	0.8982873054271729	24540	442855	167864	2721196	2021-09-12
26-45y	46-65y	0.9827040389997981	209064	1023053	565872	2721196	2021-09-12
26-45y	6-17y	0.9415345323216988	140848	1023053	397902	2721196	2021-09-12
26-45y	18-25y	0.9902069516998467	164864	1023053	442855	2721196	2021-09-12
26-45y	26-45y	1.0436632718629637	401418	1023053	1023053	2721196	2021-09-12
26-45y	0-5y	0.9877998327236529	30631	1023053	82481	2721196	2021-09-12
26-45y	81y+	0.8969633462438514	13883	1023053	41169	2721196	2021-09-12
26-45y	65-80y	0.9631488252338709	60784	1023053	167864	2721196	2021-09-12
46-65y	46-65y	1.1193822934292763	131721	565872	565872	2721196	2021-09-12
46-65y	6-17y	0.953850007204184	78925	565872	397902	2721196	2021-09-12
46-65y	18-25y	0.9392932353419062	86501	565872	442855	2721196	2021-09-12
46-65y	26-45y	0.9827040389997981	209064	565872	1023053	2721196	2021-09-12
46-65y	0-5y	0.9421112331643462	16159	565872	82481	2721196	2021-09-12
46-65y	81y+	1.0701917241392247	9162	565872	41169	2721196	2021-09-12
46-65y	65-80y	1.0861059729754106	37913	565872	167864	2721196	2021-09-12
6-17y	46-65y	0.953850007204184	78925	397902	565872	2721196	2021-09-12
6-17y	6-17y	1.3127141769981334	76377	397902	397902	2721196	2021-09-12
6-17y	18-25y	0.882856952948221	57170	397902	442855	2721196	2021-09-12
6-17y	26-45y	0.9415345323216988	140848	397902	1023053	2721196	2021-09-12
6-17y	0-5y	1.0896605976373748	13142	397902	82481	2721196	2021-09-12
6-17y	81y+	0.8878939429935531	5345	397902	41169	2721196	2021-09-12
6-17y	65-80y	0.9215903826024775	22621	397902	167864	2721196	2021-09-12
65-80y	46-65y	1.0861059729754106	37913	167864	565872	2721196	2021-09-12
65-80y	6-17y	0.9215903826024775	22621	167864	397902	2721196	2021-09-12
65-80y	18-25y	0.8982873054271729	24540	167864	442855	2721196	2021-09-12
65-80y	26-45y	0.9631488252338709	60784	167864	1023053	2721196	2021-09-12
65-80y	0-5y	0.936507465126415	4765	167864	82481	2721196	2021-09-12
65-80y	81y+	1.5990606188631362	4061	167864	41169	2721196	2021-09-12
65-80y	65-80y	1.5652154160440481	16208	167864	167864	2721196	2021-09-12
81y+	46-65y	1.0701917241392247	9162	41169	565872	2721196	2021-09-12
81y+	6-17y	0.8878939429935531	5345	41169	397902	2721196	2021-09-12
81y+	18-25y	0.8520949599053239	5709	41169	442855	2721196	2021-09-12
81y+	26-45y	0.8969633462438514	13883	41169	1023053	2721196	2021-09-12
81y+	0-5y	0.9560399311781685	1193	41169	82481	2721196	2021-09-12
81y+	81y+	4.839075920314646	3014	41169	41169	2721196	2021-09-12
81y+	65-80y	1.5990606188631362	4061	41169	167864	2721196	2021-09-12
0-5y	46-65y	0.9439204002414753	17708	89994	613156	2941375	2021-10-10
0-5y	18-25y	0.9088022839489287	13344	89994	479903	2941375	2021-10-10
0-5y	6-17y	1.0949655343957625	14195	89994	423713	2941375	2021-10-10
0-5y	65-80y	0.9412572789832769	5067	89994	175946	2941375	2021-10-10
0-5y	0-5y	1.6778968603956717	4620	89994	89994	2941375	2021-10-10
0-5y	26-45y	0.9892381678152384	33786	89994	1116279	2941375	2021-10-10
0-5y	81y+	0.9824361363929861	1274	89994	42384	2941375	2021-10-10
18-25y	46-65y	0.9392634998981456	93964	479903	613156	2941375	2021-10-10
18-25y	18-25y	1.285047401362864	100618	479903	479903	2941375	2021-10-10
18-25y	6-17y	0.8661052469040104	59875	479903	423713	2941375	2021-10-10
18-25y	65-80y	0.8940438142123475	25665	479903	175946	2941375	2021-10-10
18-25y	0-5y	0.9088022839489287	13344	479903	89994	2941375	2021-10-10
18-25y	26-45y	0.9889164298314748	180109	479903	1116279	2941375	2021-10-10
18-25y	81y+	0.8576753237247209	5931	479903	42384	2941375	2021-10-10
26-45y	46-65y	0.9821555712350236	228546	1116279	613156	2941375	2021-10-10
26-45y	18-25y	0.9889164298314748	180109	1116279	479903	2941375	2021-10-10
26-45y	6-17y	0.9390372074124966	151000	1116279	423713	2941375	2021-10-10
26-45y	65-80y	0.9607756419141494	64154	1116279	175946	2941375	2021-10-10
26-45y	0-5y	0.9892381678152384	33786	1116279	89994	2941375	2021-10-10
26-45y	26-45y	1.0489847272290325	444390	1116279	1116279	2941375	2021-10-10
26-45y	81y+	0.907049510195553	14590	1116279	42384	2941375	2021-10-10
