date	x	y	nRR	RR	N_pairs	N_x	N_y	region_x	region_y	country_x	country_y	nb_dist
2020-01-01	Ontario	Utah	0.1517028885882293	0.5096633819536157	241	24133	4346	Eastern Canada	Rocky Mountain	Canada	USA	4
2020-01-01	Oregon	Utah	0.16451665161153808	1.2856857711564158	23	913	4346	Far West	Rocky Mountain	USA	USA	2
2020-01-01	Pennsylvania	Utah	0.26092744186591055	1.2428067697379432	46	1889	4346	Mideast	Rocky Mountain	USA	USA	6
2020-01-01	Quebec	Utah	0.07610562605865542	0.3734133907346131	126	17221	4346	Eastern Canada	Rocky Mountain	Canada	USA	5
2020-01-01	Rhode Island	Utah	0.11473850005063796	0.4241649213061293	56	6738	4346	New England	Rocky Mountain	USA	USA	7
2020-01-01	South Carolina	Utah	0.05836732949839851	1.776574705680183	11	316	4346	Southeast	Rocky Mountain	USA	USA	6
2020-01-01	Tennessee	Utah	0.44793984077558763	1.2433044338515225	41	1683	4346	Southeast	Rocky Mountain	USA	USA	4
2020-01-01	Texas	Utah	0.14333371660638114	1.042144424992019	72	3526	4346	Southwest	Rocky Mountain	USA	USA	2
2020-01-01	Virginia	Utah	0.3427456598395215	2.9656726944137004	67	1153	4346	Southeast	Rocky Mountain	USA	USA	5
2020-01-01	Washington	Utah	0.062294530528874625	0.26038133361937277	188	36849	4346	Far West	Rocky Mountain	USA	USA	2
2020-01-01	Wisconsin	Utah	0.1373322878373709	0.5828878235580531	61	5341	4346	Great Lakes	Rocky Mountain	USA	USA	4
2020-01-01	Alberta	New York	0.06819982749410693	0.3506017203261686	118	2858	26120	Western Canada	Mideast	Canada	USA	4
2020-01-01	Arizona	New York	0.08320615556686284	0.5394630953747435	139	2188	26120	Southwest	Mideast	USA	USA	6
2020-01-01	British Columbia	New York	0.2452078484935624	0.6411227699081163	302	4000	26120	Western Canada	Mideast	Canada	USA	4
2020-01-01	California	New York	0.21646668890529985	0.7940634291086953	1294	13838	26120	Far West	Mideast	USA	USA	7
2020-01-01	Colorado	New York	0.08795471015183452	0.4701915335598713	283	5111	26120	Rocky Mountain	Mideast	USA	USA	5
2020-01-01	Delaware	New York	0.10337003069006992	0.5603022986621639	90	1364	26120	Mideast	Mideast	USA	USA	2
2020-01-01	District of Columbia	New York	0.05930689242017664	0.36491596900217527	37	861	26120	Mideast	Mideast	USA	USA	3
2020-01-01	Florida	New York	0.2962040188805563	1.1240113850064914	447	3377	26120	Southeast	Mideast	USA	USA	6
2020-01-01	Hawaii	New York	0.04991873710715082	0.8456458541172882	24	241	26120	Far West	Mideast	USA	USA	NA
2020-01-01	Illinois	New York	0.0892425946883696	0.5774875751791162	352	5176	26120	Great Lakes	Mideast	USA	USA	4
2020-01-01	Kansas	New York	0.05330511816560601	0.27570441618106245	10	308	26120	Plains	Mideast	USA	USA	5
2020-01-01	Maryland	New York	0.20647257412213935	0.836319527879886	384	3899	26120	Mideast	Mideast	USA	USA	2
2020-01-01	Mexico	New York	0.056164534739183744	0.8682279752380152	41	401	26120	Mexico	Mideast	Mexico	USA	7
2020-01-01	Michigan	New York	0.11984796159438282	0.6526832037793344	575	7481	26120	Great Lakes	Mideast	USA	USA	3
2020-01-01	Minnesota	New York	0.056565232831183664	0.3792461717731974	133	2978	26120	Plains	Mideast	USA	USA	2
2020-01-01	Missouri	New York	0.08597102006715793	0.6664234448749956	128	1631	26120	Plains	Mideast	USA	USA	4
2020-01-01	New Mexico	New York	0.1893952314786526	1.0953380062559055	97	752	26120	Southwest	Mideast	USA	USA	6
2020-01-01	North Carolina	New York	0.26443665257620913	1.0125867171948195	101	847	26120	Southeast	Mideast	USA	USA	4
2020-01-01	Nova Scotia	New York	0.068899063066474725	1.463667796669328	121	702	26120	Eastern Canada	Mideast	Canada	USA	3
2020-01-01	Ohio	New York	0.47668356657695543	1.753467273877166	757	3666	26120	Great Lakes	Mideast	USA	USA	2
2020-01-01	Oklahoma	New York	0.7019749811402357	2.0111903814378977	72	304	26120	Southwest	Mideast	USA	USA	5
2020-01-01	Ontario	New York	0.1989622750769166	0.6889625552602223	1958	24133	26120	Eastern Canada	Mideast	Canada	USA	1
2020-01-01	Quebec	New York	0.1775670958038907	0.8895541924889062	1804	17221	26120	Eastern Canada	Mideast	Canada	USA	1
2020-01-01	Rhode Island	New York	0.06997880933618023	0.2659167542820155	211	6738	26120	New England	Mideast	USA	USA	2
2020-01-01	Saskatchewan	New York	0.04989362979863353	0.7786739112190574	169	1843	26120	Western Canada	Mideast	Canada	USA	3
2020-01-01	Tennessee	New York	0.20155844382168095	0.5802404278802802	115	1683	26120	Southeast	Mideast	USA	USA	4
2020-01-01	Texas	New York	0.07479094307674651	0.5515024247788687	229	3526	26120	Southwest	Mideast	USA	USA	6
2020-01-01	Utah	New York	0.2718753763117753	0.8773055295781655	449	4346	26120	Rocky Mountain	Mideast	USA	USA	5
2020-01-01	Virginia	New York	0.19346131954321777	1.6939195507026743	230	1153	26120	Southeast	Mideast	USA	USA	3
2020-01-01	Wisconsin	New York	0.20625697417522	0.8967074393155551	564	5341	26120	Great Lakes	Mideast	USA	USA	3
2020-01-01	Alberta	Oklahoma	0.10919561674110108	0.5105785698500976	2	2858	304	Western Canada	Southwest	Canada	USA	4
2020-01-01	Arizona	Oklahoma	0.2770327098305899	1.6673121331665544	5	2188	304	Southwest	Southwest	USA	USA	2
2020-01-01	British Columbia	Oklahoma	0.7636845074057197	1.6416348684210529	9	4000	304	Western Canada	Southwest	Canada	USA	4
2020-01-01	California	Oklahoma	0.5431699040658744	1.739940933052388	33	13838	304	Far West	Southwest	USA	USA	3
2020-01-01	Connecticut	Oklahoma	0.758095727510946	2.1446662566911106	10	3402	304	New England	Southwest	USA	USA	6
2020-01-01	Florida	Oklahoma	0.4542044649642182	1.5123805775914467	7	3377	304	Southeast	Southwest	USA	USA	4
